iter	Passed	Remaining
0	135	67491
1	137	34197
2	141	23395
3	143	17803
4	145	14430
5	148	12233
6	150	10624
7	153	9444
8	156	8516
9	157	7716
10	159	7093
11	161	6576
12	180	6768
13	182	6344
14	184	5975
15	186	5653
16	189	5395
17	191	5140
18	195	4943
19	197	4749
20	199	4558
21	201	4381
22	204	4249
23	207	4106
24	210	3995
25	212	3878
26	215	3768
27	217	3660
28	219	3564
29	221	3472
30	223	3385
31	225	3299
32	228	3227
33	229	3148
34	231	3072
35	232	2997
36	234	2929
37	237	2887
38	239	2832
39	241	2774
40	242	2718
41	245	2673
42	247	2627
43	248	2578
44	250	2531
45	252	2490
46	254	2448
47	255	2407
48	257	2366
49	258	2328
50	260	2295
51	262	2259
52	263	2222
53	265	2194
54	268	2173
55	270	2144
56	272	2114
57	273	2084
58	275	2061
59	277	2036
60	279	2011
61	281	1986
62	282	1958
63	284	1936
64	285	1913
65	287	1890
66	289	1868
67	290	1844
68	292	1824
69	293	1802
70	295	1782
71	296	1763
72	298	1745
73	300	1731
74	302	1712
75	303	1694
76	305	1676
77	306	1660
78	308	1645
79	310	1630
80	312	1614
81	313	1600
82	316	1589
83	318	1575
84	319	1560
85	320	1544
86	322	1530
87	324	1517
88	325	1504
89	327	1492
90	329	1479
91	330	1467
92	333	1459
93	335	1449
94	336	1436
95	338	1424
96	340	1413
97	341	1402
98	343	1393
99	345	1382
100	347	1371
101	348	1360
102	350	1349
103	351	1339
104	353	1329
105	354	1318
106	357	1311
107	358	1302
108	360	1294
109	362	1285
110	365	1282
111	367	1271
112	368	1262
113	370	1254
114	373	1249
115	374	1240
116	376	1232
117	378	1224
118	380	1217
119	382	1209
120	383	1201
121	385	1194
122	386	1184
123	388	1177
124	390	1170
125	391	1162
126	393	1154
127	396	1152
128	398	1145
129	400	1138
130	401	1131
131	403	1125
132	405	1119
133	407	1113
134	409	1106
135	411	1100
136	412	1094
137	414	1087
138	415	1080
139	417	1073
140	418	1066
141	420	1061
142	422	1055
143	424	1048
144	425	1042
145	428	1039
146	430	1033
147	431	1027
148	433	1021
149	436	1017
150	438	1012
151	439	1007
152	441	1001
153	443	995
154	444	990
155	446	984
156	448	979
157	449	972
158	450	966
159	452	961
160	454	956
161	455	950
162	457	945
163	459	942
164	462	938
165	463	933
166	481	960
167	483	955
168	485	950
169	487	945
